ID;MATCH_ID;EVENT_ID;TYPE_ID;PERIOD_ID;TIME_MIN;TIME_SEC;TEAM_ID;X;Y;PLAYER_ID;PLAYER_NAME;PENALTY;HEAD;RIGHT_FOOTED;OTHER_BODY_PART;REGULAR_PLAY;FAST_BREAK;SET_PIECE;FROM_CORNER;FREE_KICK;OWN_GOAL;ASSISTED;LEFT_FOOTED;TARGETED_LOW_LEFT;TARGETED_HIGH_LEFT;TARGETED_LOW_CENTER;TARGETED_HIGH_CENTER;TARGETED_LOW_RIGHT;TARGETED_HIGH_RIGHT;BLOCKED;TARGETED_CLOSE_LEFT;TARGETED_CLOSE_RIGHT;TARGETED_CLOSE_HIGH;TARGETED_CLOSE_LEFT_AND_HIGH;TARGETED_CLOSE_RIGHT_AND_HIGH;PROJECTED_GOAL_MOUTH_Y;PROJECTED_GOAL_MOUTH_Z;DEFLECTION;HIT_WOODWORK;BIG_CHANCE;INDIVIDUAL_CHANCE;HIT_RIGHT_POST;HIT_LEFT_POST;HIT_BAR;OUT_ON_SIDELINE;KICKOFF;FIRST_TOUCH;NOT_ASSISTED;EVENT_TYPE_NAME;TEAM_NAME;IS_GOAL;GOAL_CNT;RESULT;TEAM_SIDE;X_REL_PC;Y_REL_PC;X_REL_M;Y_REL_M;X_REL_M_TEAM;Y_REL_M_TEAM;DISTANCE;DISTANCE_BUCKET;EVENT_COUNT;FOOTBALL_PITCH_CELL;MATCH_DATE
1796466934;97cdgmsr4iama8kjuzkcp1mqy;762;13;2;61;39;;91,8;62,6;;anonymized;N;N;Y;N;Y;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;51,1;79,2;N;N;N;N;N;N;N;N;N;Y;N;Shot;anonymized;N;0;Miss;home;8,2;12,6;8,528;8,568;8,528;-8,568;12,08873062;13;1;X8|Y8;23-sep-17
1262301742;95loo213q23f1y3ft907o11m2;240;13;1;29;8;;74,8;41,9;;anonymized;N;N;Y;N;Y;N;N;N;N;N;Y;N;N;N;N;N;N;N;N;Y;N;N;N;N;57,6;8,3;N;N;N;Y;N;N;N;N;N;N;N;Shot;anonymized;N;0;Miss;home;25,2;-8,1;26,208;-5,508;26,208;5,508;26,7805401;27;1;X26|Y-6;16-sep-17
2023283870;95dhs6tmfj3k0bghclkq5k1nu;685;13;2;53;8;;77,8;59,1;;anonymized;N;N;Y;N;N;N;N;Y;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;46,4;66,7;N;N;N;N;N;N;N;N;N;Y;N;Shot;anonymized;N;0;Miss;home;22,2;9,1;23,088;6,188;23,088;-6,188;23,90286778;24;1;X22|Y6;15-sep-17
1527740859;952yb8ephvxncs970jdzh6vl6;364;13;1;30;58;;77,7;34,5;;anonymized;N;N;N;N;N;N;N;Y;N;N;Y;Y;N;N;N;N;N;N;N;N;N;N;N;N;55,1;70,8;N;N;N;Y;N;N;N;N;N;N;N;Shot;anonymized;N;0;Miss;away;22,3;-15,5;23,192;-10,54;80,808;-10,54;25,47470243;26;1;X22|Y-12;9-sep-17
1517446455;9gm1kfpmnvg2z6wsgyukb69uy;361;13;1;38;36;;71,4;41;;anonymized;N;N;Y;N;Y;N;N;N;N;N;N;N;N;Y;N;N;N;N;N;N;N;N;N;N;61,5;51,4;N;N;N;Y;N;N;N;N;N;N;N;Shot;anonymized;N;0;Miss;home;28,6;-9;29,744;-6,12;29,744;6,12;30,36708639;31;1;X28|Y-8;25-nov-17
1640403566;978lqp77rtb9uc7tbj1hruqui;169;14;1;12;35;;75,2;29,1;;anonymized;N;N;Y;N;Y;N;N;N;N;N;Y;N;N;N;N;N;N;N;N;N;N;N;N;N;55,2;1,3;N;N;N;Y;N;N;N;N;N;N;N;Shot;anonymized;N;0;Post;away;24,8;-20,9;25,792;-14,212;78,208;-14,212;29,44839907;30;1;X24|Y-16;23-sep-17
1919995917;aaf65e9kpyadeqzkmhxuu31wq;1149;15;2;82;32;;90,2;51,3;;anonymized;N;N;N;N;N;N;N;Y;N;N;N;Y;N;N;N;N;N;N;Y;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;Y;N;Shot;anonymized;N;0;Attempt Saved;home;9,8;1,3;10,192;0,884;10,192;-0,884;10,2302649;11;1;X10|Y0;9-may-18
1790112997;a5tlb8xk801v3g1vgs13cjq0a;735;15;2;79;40;;95,2;56,7;;anonymized;N;Y;N;N;N;N;N;Y;N;N;Y;N;N;N;Y;N;N;N;N;N;N;N;N;N;49;15,8;Y;N;N;N;N;N;N;N;N;Y;N;Shot;anonymized;N;0;Attempt Saved;away;4,8;6,7;4,992;4,556;99,008;4,556;6,758490956;7;1;X4|Y4;8-may-18
1624860398;ae8y951thvzf65mm5no8t1ch6;833;15;2;93;6;;76,7;41,3;;anonymized;N;N;N;N;N;N;N;N;Y;N;N;Y;N;N;N;N;N;Y;N;N;N;N;N;N;47,4;30,4;N;N;N;N;N;N;N;N;N;N;N;Shot;anonymized;N;0;Attempt Saved;home;23,3;-8,7;24,232;-5,916;24,232;5,916;24,94371424;25;1;X24|Y-6;5-may-18
1889811825;afx6m6390qswzssjtaaw3gxuy;545;15;2;77;3;;93,9;42,1;;anonymized;N;N;N;N;N;N;N;N;N;N;N;Y;N;N;Y;N;N;N;N;N;N;N;N;N;48,7;13,3;N;N;N;N;N;N;N;N;N;N;N;Shot;anonymized;N;0;Attempt Saved;away;6,1;-7,9;6,344;-5,372;97,656;-5,372;8,312924876;9;1;X6|Y-6;13-may-18
1713103142;afp7ue5gjtyy2iolbzp2q2a96;55;15;1;6;11;;85,2;57,3;;anonymized;N;N;Y;N;Y;N;N;N;N;N;N;N;N;N;Y;N;N;N;N;N;N;N;N;N;49,6;11,4;N;N;N;Y;N;N;N;N;N;N;N;Shot;anonymized;N;0;Attempt Saved;home;14,8;7,3;15,392;4,964;15,392;-4,964;16,17266088;17;1;X14|Y4;13-may-18
1568349404;afd7ji5b7kmytlclp3h3m002y;401;15;1;34;28;;89,7;42,2;;anonymized;N;N;Y;N;Y;N;N;N;N;N;Y;N;Y;N;N;N;N;N;N;N;N;N;N;N;52;2,5;N;N;N;N;N;N;N;N;N;Y;N;Shot;anonymized;N;0;Attempt Saved;home;10,3;-7,8;10,712;-5,304;10,712;5,304;11,95321547;12;1;X10|Y-6;13-may-18
